
"15.000";"4,21279e-05";"5,79641e-05";"3,52825e-05";"3,53504e-05";"4,49827e-05"
"30.000";"1,57026e-05";"2,63429e-05";"1,55642e-05";"1,55685e-05";"1,54909e-05"
"60.000";"1,49992e-05";"2,01129e-05";"1,04211e-05";"1,11602e-05";"1,56459e-05"
"100.000";"6,06970e-06";"7,43434e-06";"5,68778e-06";"6,03846e-06";"7,42422e-06"

"15.000";"4,53466e-05";"7,92577e-05";"5,14722e-05";"5,14711e-05";"4,82341e-05"
"30.000";"2,03770e-05";"3,55792e-05";"1,55482e-05";"1,70848e-05";"2,16360e-05"
"60.000";"1,79853e-05";"2,97400e-05";"1,71697e-05";"1,71696e-05";"1,92977e-05"
"100.000";"7,13577e-06";"9,22842e-06";"8,17855e-06";"8,17858e-06";"9,86586e-06"

"15.000";"5,49531e-05";"1,08862e-04";"6,73410e-05";"6,73450e-05";"5,99797e-05"
"30.000";"2,35184e-05";"6,90715e-05";"2,16443e-05";"2,47064e-05";"2,61928e-05"
"60.000";"1,79742e-05";"3,19193e-05";"2,52998e-05";"2,52997e-05";"2,51032e-05"
"100.000";"7,49192e-06";"2,04546e-05";"1,13491e-05";"1,10005e-05";"1,12757e-05"

"15.000";"1,29631e-04";"1,78129e-04";"6,75374e-05";"6,75304e-05";"7,28941e-05"
"30.000";"4,24071e-05";"8,04860e-05";"3,55417e-05";"3,55440e-05";"2,75320e-05"
"60.000";"2,32291e-05";"6,20035e-05";"2,97202e-05";"2,97205e-05";"3,01836e-05"
"100.000";"8,92079e-06";"3,42136e-05";"1,73917e-05";"1,73910e-05";"1,72703e-05"

"15.000";"3,14392e-04";"3,94424e-04";"1,34591e-04";"1,34540e-04";"9,45161e-05"
"30.000";"9,23607e-05";"1,76159e-04";"6,18742e-05";"6,18740e-05";"6,75403e-05"
"60.000";"2,77326e-05";"1,34458e-04";"4,91227e-05";"4,91227e-05";"7,64596e-05"
"100.000";"1,35465e-05";"7,70591e-05";"3,88710e-05";"3,92226e-05";"5,01487e-05"
